"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","3","Login Flow Challenge","2","0","Failed login with invalid credentials","0"
"1","","0","Flujo de Compra de Producto en E-commerce","0","0","Validación de campos obligatorios en facturación","0"
"1","","0","Flujo de Compra de Producto en E-commerce","0","0","Compra exitosa de un producto único","0"
"0","","0","Student Enrollment Management","0","0","Registro exitoso de un estudiante con información completa","1"
"0","","0","Login Flow Challenge","1","0","Successful login with valid credentials","0"
"0","","0","Student Enrollment Management","0","0","Fallo en el registro al intentar enviar el formulario vacío","1"
"0","","0","Student Enrollment Management","0","0","Fallo en el registro por número de teléfono inválido","1"
"1","","0","Flujo de Compra de Producto en E-commerce","0","0","Intento de compra con pago cancelado","0"
